isForked,isTopContributor,repo_id,dev_id
False,True,0,0
False,True,1,0
False,True,2,0
False,True,3,0
True,,4,2
True,,5,2
False,True,6,3
False,True,7,3
False,True,8,3
False,True,9,3
False,True,10,3
False,True,11,3
False,True,12,4
False,True,13,4
False,True,14,4
False,True,15,7
False,True,16,7
False,True,17,8
False,True,18,8
False,True,19,8
False,True,20,8
False,True,21,8
False,True,22,8
True,False,23,9
True,True,24,9
True,,25,9
False,True,26,10
False,True,27,10
False,True,28,11
False,True,29,11
False,True,30,11
False,True,31,11
False,True,32,11
False,True,33,12
False,True,34,12
False,True,35,12
False,True,36,12
False,True,37,12
False,True,38,13
False,True,39,13
False,True,40,13
False,True,41,13
False,True,42,13
False,True,43,13
False,True,44,14
False,True,45,14
False,True,46,14
False,True,47,14
False,True,48,14
False,True,49,14
False,True,50,15
False,True,51,15
False,True,52,15
True,True,53,15
False,True,54,16
False,True,55,17
True,True,56,17
False,True,57,17
False,True,58,17
False,True,59,18
False,True,60,18
False,True,61,18
True,False,62,18
False,True,63,19
False,False,64,19
False,True,65,19
True,True,66,20
True,True,67,20
True,True,68,20
False,True,69,20
True,True,70,20
False,True,71,21
False,True,72,22
False,True,73,22
False,True,74,22
False,True,75,22
False,True,76,23
False,True,77,23
False,True,78,23
False,True,79,23
False,True,80,23
False,True,81,23
False,True,82,25
False,True,83,25
False,True,84,25
False,True,85,25
False,True,86,25
False,True,87,26
False,True,88,27
False,True,89,27
False,True,90,27
False,True,91,27
False,True,92,27
False,True,93,27
False,True,94,28
False,True,95,28
False,True,96,28
False,True,97,28
False,True,98,28
False,True,99,29
False,True,100,29
False,True,101,29
False,True,102,29
False,True,103,32
False,True,104,32
False,True,105,32
False,True,106,32
False,True,107,32
False,True,108,32
False,True,109,33
True,True,110,36
False,True,111,36
False,True,112,37
False,True,113,37
False,True,114,37
True,True,115,38
True,,116,38
False,True,117,38
False,True,118,40
False,True,119,40
False,True,120,40
False,True,121,40
False,True,122,40
True,True,123,41
False,True,124,42
False,True,125,42
False,True,126,44
False,True,127,44
False,True,128,44
False,True,129,44
False,True,130,45
False,True,131,45
False,True,132,45
